x_m,y_m,depth_m,sound_speed_mps
27.417974,-14.493044,14.493044,1458.084048
27.637256,-14.372980,14.372980,1458.304487
27.856571,-14.252976,14.252976,1458.524478
28.075919,-14.133032,14.133032,1458.744024
28.295300,-14.013149,14.013149,1458.963124
28.514713,-13.893326,13.893326,1459.181780
28.734160,-13.773563,13.773563,1459.399993
28.953640,-13.653861,13.653861,1459.617763
29.173152,-13.534218,13.534218,1459.835093
29.392697,-13.414636,13.414636,1460.051982
29.612275,-13.295113,13.295113,1460.268432
29.831885,-13.175650,13.175650,1460.484444
30.051528,-13.056247,13.056247,1460.700018
30.271203,-12.936904,12.936904,1460.915157
30.490911,-12.817620,12.817620,1461.129859
30.710650,-12.698396,12.698396,1461.344128
30.930422,-12.579231,12.579231,1461.557963
31.150226,-12.460125,12.460125,1461.771366
31.370063,-12.341079,12.341079,1461.984337
31.589931,-12.222092,12.222092,1462.196878
31.809831,-12.103164,12.103164,1462.408989
32.029763,-11.984295,11.984295,1462.620671
32.249727,-11.865485,11.865485,1462.831926
32.469723,-11.746733,11.746733,1463.042755
32.689751,-11.628041,11.628041,1463.253157
32.909810,-11.509407,11.509407,1463.463135
33.129900,-11.390832,11.390832,1463.672688
33.350023,-11.272315,11.272315,1463.881819
33.570176,-11.153857,11.153857,1464.090528
33.790361,-11.035457,11.035457,1464.298816
34.010578,-10.917115,10.917115,1464.506684
34.230825,-10.798832,10.798832,1464.714132
34.451104,-10.680606,10.680606,1464.921162
34.671414,-10.562439,10.562439,1465.127775
34.891755,-10.444329,10.444329,1465.333971
35.112127,-10.326278,10.326278,1465.539752
35.332530,-10.208284,10.208284,1465.745118
35.552964,-10.090348,10.090348,1465.950071
35.773429,-9.972470,9.972470,1466.164247
35.993925,-9.854651,9.854651,1466.409524
36.214459,-9.736902,9.736902,1466.654209
36.435030,-9.619222,9.619222,1466.898303
36.655637,-9.501611,9.501611,1467.141809
36.876281,-9.384068,9.384068,1467.384727
37.096961,-9.266594,9.266594,1467.627060
37.317678,-9.149189,9.149189,1467.868808
37.538432,-9.031852,9.031852,1468.109974
37.759221,-8.914583,8.914583,1468.350558
37.980047,-8.797382,8.797382,1468.590563
38.200909,-8.680249,8.680249,1468.829989
38.421806,-8.563185,8.563185,1469.068839
38.642740,-8.446188,8.446188,1469.307114
38.863710,-8.329258,8.329258,1469.544815
39.084715,-8.212397,8.212397,1469.781944
39.305756,-8.095602,8.095602,1470.018502
